,Arts and Humanities,Engineering,Medicine,Sciences,Social Sciences
1987,30,192,51,175,16
1989,120,884,426,636,109
1990,184,974,367,761,171
1991,178,1026,424,810,172
1992,150,1080,334,779,185
1993,157,1214,404,941,224
1994,238,1495,559,1120,311
1995,258,1784,719,1504,376
1996,351,2164,791,1664,460
1997,488,2964,943,2185,739
1998,617,3427,1219,2752,942
1999,765,4039,1436,2871,1209
2000,792,4611,1520,2907,1174
2001,1029,5012,1774,3148,1904
2002,5848,2169,1774,1439,2269
2003,1639,6579,2825,4461,3302
2004,1898,8067,3700,5495,4286
2005,2199,9449,4291,6551,5187
2006,2787,12130,5481,8785,7029
2007,3164,14501,5907,8051,7938
2008,3365,15299,5782,10889,8424
2009,3624,17407,5586,11576,9358
2010,3659,17451,5762,11611,9380
2011,3833,17737,6991,12122,9606
2012,3922,17923,7813,12127,9928
2013,3941,18347,8228,12831,9792
2014,3830,18560,8457,13304,9502
2015,3581,18759,8707,13527,9204
2016,3708,19091,9211,14034,8967
2017,3921,20523,9567,14862,9159
2018,4011,22056,9699,15593,9365
2019,4028,23408,9668,16446,9028
